DATE,GNP
2015-04-01,18285.901
2015-07-01,18419.297
2015-10-01,18504.1
2016-01-01,18501.278
2016-04-01,18733.023
2016-07-01,18917.466
2016-10-01,19134.463
2017-01-01,19271.958
2017-04-01,19452.411
2017-07-01,19728.867
2017-10-01,19976.4
