,x,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
1,State 2,0.00445,0.00506,0.00608,0.00646,0.00699,0.00719,0.00712,0.00747,0.0082,0.00842
2,State 2,0.00484,0.00499,0.0054,0.00612,0.00707,0.00883,0.01099,0.01313,0.01486,0.01687
3,State 2,0.00466,0.00411,0.00302,0.00181,0.00129,0.00066,-6.00E-05,-0.00136,-0.00231,-0.00313
4,State 2,0.00601,0.00466,0.0047,0.00509,0.00485,0.00458,0.00487,0.00468,0.00506,0.00495
5,State 2,0.00504,0.0071,0.0085,0.01005,0.01148,0.0125,0.01388,0.01536,0.01658,0.01828
6,State 2,0.00474,0.00529,0.00584,0.00627,0.00656,0.00635,0.00541,0.00606,0.00642,0.00623
7,State 2,0.00546,0.00596,0.00657,0.00738,0.00892,0.01039,0.01129,0.01193,0.01227,0.01307
8,State 2,0.00501,0.00541,0.00585,0.00709,0.00834,0.00859,0.00927,0.00945,0.00951,0.00949
9,State 2,0.00522,0.00511,0.00509,0.00548,0.00578,0.00619,0.00607,0.00627,0.0067,0.00719
10,State 2,0.00568,0.00646,0.00774,0.00904,0.01095,0.0119,0.01352,0.01419,0.01566,0.01627
11,State 2,0.00578,0.0082,0.01052,0.01195,0.01405,0.01542,0.01686,0.01826,0.02045,0.02224
12,State 2,0.00722,0.01059,0.01261,0.01325,0.01394,0.01453,0.01517,0.01426,0.01303,0.01275
13,State 2,0.00394,0.00457,0.0055,0.00642,0.00772,0.00784,0.00831,0.00897,0.00922,0.00998
14,State 2,0.00475,0.00614,0.00753,0.00732,0.00768,0.00884,0.00807,0.00821,0.00851,0.00839
15,State 2,0.00446,0.00483,0.00421,0.00301,0.0018,-0.00033,-0.00189,-0.00338,-0.00563,-0.00804
16,State 2,0.00443,0.00584,0.0062,0.00584,0.00543,0.00538,0.0056,0.00405,0.00308,0.00289
17,State 2,0.00253,0.00255,0.00248,0.00276,0.00289,0.00325,0.0026,0.00257,0.00243,0.00214
18,State 2,0.00369,0.00576,0.00903,0.01147,0.01364,0.0157,0.01679,0.01926,0.0207,0.02227
19,State 2,0.00297,0.00403,0.00532,0.00664,0.00811,0.00855,0.00918,0.00972,0.01047,0.01081
20,State 2,0.00444,0.00851,0.01263,0.01626,0.01998,0.02131,0.02185,0.02283,0.02423,0.02542
21,State 2,0.00382,0.00632,0.00919,0.01085,0.01267,0.01445,0.01725,0.01808,0.01795,0.01909
22,State 2,0.00178,0.00154,-4.00E-04,-0.0041,-0.00725,-0.0099,-0.01243,-0.01464,-0.0163,-0.01787
23,State 2,0.00187,0.00249,0.00232,0.0012,-0.00201,-0.0034,-0.00477,-0.00588,-0.00732,-0.00835
24,State 2,0.00113,0.00059,0.00097,0.00198,0.00358,0.00408,0.00404,0.00433,0.00374,0.0027
25,State 2,0.00157,0.00253,0.00377,0.00509,0.00636,0.00788,0.00889,0.00981,0.01082,0.01124
26,State 2,9.00E-04,-0.00149,-0.00431,-0.00743,-0.01063,-0.01294,-0.01562,-0.018,-0.02012,-0.02217
27,State 2,0.0025,0.00601,0.00931,0.01221,0.01415,0.01598,0.01791,0.01961,0.02111,0.02234
28,State 2,0.00151,0.00203,0.0029,0.00406,0.00586,0.00736,0.00882,0.01019,0.01059,0.01097
29,State 2,0.0015,0.00354,0.00643,0.00874,0.00995,0.01127,0.01202,0.01347,0.01483,0.01631
30,State 2,0.00177,0.00312,0.00797,0.01337,0.0165,0.01928,0.02185,0.02438,0.02618,0.02798
31,State 2,0.00108,0.00128,0.00199,0.0035,0.00638,0.01021,0.01172,0.01296,0.01509,0.01612
32,State 2,0.00221,0.00353,0.00503,0.00866,0.01123,0.01428,0.01835,0.02168,0.02591,0.02954
33,State 2,0.00148,0.00188,0.00238,0.0022,0.002,0.00119,-7.00E-05,-0.0013,-0.00259,-0.00385
34,State 2,0.00132,0.00059,-0.00128,-0.00479,-0.00741,-0.00927,-0.01185,-0.01439,-0.01655,-0.01857
35,State 2,0.00117,0.00296,0.00667,0.01123,0.01358,0.01672,0.02054,0.02308,0.02559,0.02731
36,State 2,0.00088,0.00083,0.00027,1.00E-05,0.00058,-0.00041,-0.00242,-0.00394,-0.00485,-0.00566
37,State 2,0.00095,0.00136,0.00268,0.00462,0.00655,0.00935,0.01191,0.01341,0.01543,0.017
38,State 2,0.00143,0.00164,0.00193,0.0019,0.00259,0.00191,0.00132,9.00E-04,0.00044,-0.00013
39,State 2,0.00084,0.00087,0.00135,0.00203,0.00192,0.00234,0.00274,0.00274,0.00217,0.00132
40,State 2,0.00081,0.00083,0.00162,0.00381,0.00708,0.01098,0.01494,0.01885,0.02266,0.02547
41,State 1,0.00164,0.00214,0.00235,0.00216,0.00193,0.00102,0.00037,-0.00098,-0.00177,-0.00298
